Date,Store,Temperature,Fuel_Price,Unemployment,IsHoliday,CPI,Sales
2010-02-05,1,42.31,2.572,8.106,False,211.0963582,14.312454819889213
2010-02-12,1,38.51,2.548,8.106,True,211.2421698,14.31139964904836
2010-02-19,1,39.93,2.514,8.106,False,211.2891429,14.292966456196194
2010-02-26,1,46.63,2.561,8.106,False,211.3196429,14.15890704510754
2010-03-05,1,46.5,2.625,8.106,False,211.3501429,14.256861774323498
2010-03-12,1,57.79,2.667,8.106,False,211.3806429,14.179835280593384
2010-03-19,1,54.58,2.72,8.106,False,211.215635,14.202482917710146
2010-03-26,1,51.45,2.732,8.106,False,211.0180424,14.155142027521137
2010-04-02,1,62.27,2.719,7.808,False,210.8204499,14.282364406855994
2010-04-09,1,65.86,2.77,7.808,False,210.6228574,14.250805324832927
2010-04-16,1,66.32,2.808,7.808,False,210.4887,14.19808791507238
2010-04-23,1,64.84,2.795,7.808,False,210.4391228,14.14571758048405
2010-04-30,1,67.41,2.78,7.808,False,210.3895456,14.16975304287183
2010-05-07,1,72.55,2.835,7.808,False,210.3399684,14.287983086967273
2010-05-14,1,74.78,2.854,7.808,False,210.3374261,14.21713597053408
2010-05-21,1,76.44,2.826,7.808,False,210.6170934,14.151741386877562
2010-05-28,1,80.44,2.759,7.808,False,210.8967606,14.174631473075078
2010-06-04,1,80.69,2.705,7.808,False,211.1764278,14.295170359703839
2010-06-11,1,80.43,2.668,7.808,False,211.4560951,14.248954638515528
2010-06-18,1,84.11,2.637,7.808,False,211.4537719,14.22316264622039
2010-06-25,1,84.34,2.653,7.808,False,211.3386526,14.168075186116948
2010-07-02,1,80.91,2.669,7.787,False,211.2235333,14.215908275173522
2010-07-09,1,80.48,2.642,7.787,False,211.108414,14.251229488867155
2010-07-16,1,83.15,2.623,7.787,False,211.1003854,14.186342067205238
2010-07-23,1,83.36,2.608,7.787,False,211.2351443,14.141257772307819
2010-07-30,1,81.84,2.64,7.787,False,211.3699032,14.131770320456424
2010-08-06,1,87.16,2.627,7.787,False,211.5046621,14.288940672598256
2010-08-13,1,87.0,2.692,7.787,False,211.6394211,14.22645248090459
2010-08-20,1,86.65,2.664,7.787,False,211.6033633,14.229658190297977
2010-08-27,1,85.22,2.619,7.787,False,211.5673056,14.186482849979225
2010-09-03,1,81.21,2.577,7.787,False,211.5312479,14.24739915706392
2010-09-10,1,78.69,2.565,7.787,True,211.4951902,14.225937130958245
2010-09-17,1,82.11,2.582,7.787,False,211.5224596,14.17344977137745
2010-09-24,1,80.94,2.624,7.787,False,211.5972246,14.116940960029392
2010-10-01,1,71.89,2.603,7.838,False,211.6719895,14.18936768903895
2010-10-08,1,63.93,2.633,7.838,False,211.7467544,14.226453919668751
2010-10-15,1,67.18,2.72,7.838,False,211.8137436,14.193542185733437
2010-10-22,1,69.86,2.725,7.838,False,211.8612937,14.112242060530486
2010-10-29,1,69.64,2.716,7.838,False,211.9088438,14.140639574254871
2010-11-05,1,58.74,2.689,7.838,False,211.9563939,14.254835419541253
2010-11-12,1,59.61,2.728,7.838,False,212.003944,14.217288536958563
2010-11-19,1,51.41,2.771,7.838,False,211.8896737,14.210106260866464
2010-11-26,1,64.52,2.735,7.838,True,211.7484333,14.486219938307704
2010-12-03,1,49.27,2.708,7.838,False,211.607193,14.252496154599145
2010-12-10,1,46.33,2.843,7.838,False,211.4659526,14.335859249042135
2010-12-17,1,49.84,2.869,7.838,False,211.4053124,14.452634819178085
2010-12-24,1,52.33,2.886,7.838,False,211.4051222,14.68594589900582
2010-12-31,1,48.43,2.943,7.838,True,211.4049321,14.128363184871576
2011-01-07,1,48.27,2.976,7.742,False,211.4047419,14.183434589007039
2011-01-14,1,35.4,2.983,7.742,False,211.4574109,14.145543506800582
2011-01-21,1,44.04,3.016,7.742,False,211.8272343,14.098736782855733
2011-01-28,1,43.83,3.01,7.742,False,212.1970577,14.090790523740393
2011-02-04,1,42.27,2.989,7.742,False,212.5668812,14.289649114104705
2011-02-11,1,36.39,3.022,7.742,True,212.9367046,14.316052442882828
2011-02-18,1,57.36,3.045,7.742,False,213.2478853,14.338369162164431
2011-02-25,1,62.9,3.065,7.742,False,213.535609,14.191752999597602
2011-03-04,1,59.58,3.288,7.742,False,213.8233327,14.3079257917418
2011-03-11,1,53.56,3.459,7.742,False,214.1110564,14.255822487950548
2011-03-18,1,62.76,3.488,7.742,False,214.3627114,14.27091948833192
2011-03-25,1,69.97,3.473,7.742,False,214.5999389,14.248008549473713
2011-04-01,1,59.17,3.524,7.682,False,214.8371664,14.217680074905816
2011-04-08,1,67.84,3.622,7.682,False,215.0743939,14.294386802635483
2011-04-15,1,71.27,3.743,7.682,False,215.2918561,14.26012522284801
2011-04-22,1,72.99,3.807,7.682,False,215.4599053,14.263281237947382
2011-04-29,1,72.03,3.81,7.682,False,215.6279544,14.19057878654221
2011-05-06,1,64.61,3.906,7.682,False,215.7960035,14.303717055181169
2011-05-13,1,75.64,3.899,7.682,False,215.9640526,14.288494479224578
2011-05-20,1,67.63,3.907,7.682,False,215.7339202,14.17193826034133
2011-05-27,1,77.72,3.786,7.682,False,215.5037878,14.198079995846978
2011-06-03,1,83.0,3.699,7.682,False,215.2736553,14.307201318350126
2011-06-10,1,83.13,3.648,7.682,False,215.0435229,14.2785829213902
2011-06-17,1,86.41,3.637,7.682,False,214.9980596,14.24215960036261
2011-06-24,1,83.58,3.594,7.682,False,215.0910982,14.179340945546523
2011-07-01,1,85.55,3.524,7.962,False,215.1841368,14.213305048630213
2011-07-08,1,85.83,3.48,7.962,False,215.2771754,14.243942979808194
2011-07-15,1,88.54,3.575,7.962,False,215.3611087,14.190598908796865
2011-07-22,1,85.77,3.651,7.962,False,215.4222784,14.149785253187712
2011-07-29,1,86.83,3.682,7.962,False,215.4834482,14.11725808894058
2011-08-05,1,91.65,3.684,7.962,False,215.544618,14.30063907105057
2011-08-12,1,90.76,3.638,7.962,False,215.6057878,14.237601415831426
2011-08-19,1,89.94,3.554,7.962,False,215.6693107,14.2412758362403
2011-08-26,1,87.96,3.523,7.962,False,215.7332258,14.197156536218257
2011-09-02,1,87.83,3.533,7.962,False,215.7971409,14.253913361832655
2011-09-09,1,76.0,3.546,7.962,True,215.861056,14.247598927581361
2011-09-16,1,79.94,3.526,7.962,False,216.0410526,14.230437283465228
2011-09-23,1,75.8,3.467,7.962,False,216.3758246,14.13760874543131
2011-09-30,1,79.69,3.355,7.962,False,216.7105965,14.14809082353933
2011-10-07,1,69.31,3.285,7.866,False,217.0453684,14.304697719720279
2011-10-14,1,71.74,3.274,7.866,False,217.3552733,14.216650278389158
2011-10-21,1,63.71,3.353,7.866,False,217.5159762,14.222682728212428
2011-10-28,1,66.57,3.372,7.866,False,217.6766791,14.183792245295674
2011-11-04,1,54.98,3.332,7.866,False,217.837382,14.344507820864532
2011-11-11,1,59.11,3.297,7.866,False,217.9980849,14.282345979987477
2011-11-18,1,62.25,3.308,7.866,False,218.2205088,14.246957658437442
2011-11-25,1,60.14,3.236,7.866,True,218.4676211,14.52518080766912
2011-12-02,1,48.91,3.172,7.866,False,218.7147333,14.275516848689499
2011-12-09,1,43.93,3.158,7.866,False,218.9618456,14.403120751740724
2011-12-16,1,51.63,3.159,7.866,False,219.1794533,14.447408027317612
2011-12-23,1,47.96,3.112,7.866,False,219.3577216,14.635373641498646
2011-12-30,1,44.55,3.129,7.866,True,219.5359898,14.219282713837151
2012-01-06,1,49.01,3.157,7.348,False,219.7142581,14.25400411848564
2012-01-13,1,48.53,3.261,7.348,False,219.8925263,14.193673785133585
2012-01-20,1,54.11,3.268,7.348,False,219.9856893,14.147970355507507
2012-01-27,1,54.26,3.29,7.348,False,220.0788523,14.092631247333493
2012-02-03,1,56.55,3.36,7.348,False,220.1720153,14.3079723846213
2012-02-10,1,48.02,3.409,7.348,True,220.2651783,14.404672626564928
2012-02-17,1,45.32,3.51,7.348,False,220.4257586,14.414275627930406
2012-02-24,1,57.25,3.555,7.348,False,220.636902,14.246895382373568
2012-03-02,1,60.96,3.63,7.348,False,220.8480454,14.339304188479424
2012-03-09,1,58.76,3.669,7.348,False,221.0591887,14.331581099072526
2012-03-16,1,64.74,3.734,7.348,False,221.2118132,14.33279892116875
2012-03-23,1,65.93,3.787,7.348,False,221.2864126,14.228327289876175
2012-03-30,1,67.61,3.845,7.348,False,221.3610119,14.31604619898192
2012-04-06,1,70.43,3.891,7.143,False,221.4356112,14.457194366516395
2012-04-13,1,69.07,3.891,7.143,False,221.5102105,14.298573356356334
2012-04-20,1,66.76,3.877,7.143,False,221.5640737,14.235258426766341
2012-04-27,1,67.23,3.814,7.143,False,221.6179368,14.200043692905208
2012-05-04,1,75.55,3.749,7.143,False,221.6718,14.336991208781187
2012-05-11,1,73.77,3.688,7.143,False,221.7256632,14.292425281735026
2012-05-18,1,70.33,3.63,7.143,False,221.742674,14.282949570139207
2012-05-25,1,77.22,3.561,7.143,False,221.744944,14.25727194698273
2012-06-01,1,77.95,3.501,7.143,False,221.7472139,14.300696832826464
2012-06-08,1,78.3,3.452,7.143,False,221.7494839,14.344508633953966
2012-06-15,1,79.35,3.393,7.143,False,221.7626421,14.304462896100052
2012-06-22,1,78.39,3.346,7.143,False,221.8030211,14.239369333931014
2012-06-29,1,84.88,3.286,7.143,False,221.8434,14.247566631747416
2012-07-06,1,81.57,3.227,6.908,False,221.8837789,14.386407705675092
2012-07-13,1,77.12,3.256,6.908,False,221.9241579,14.238824778657518
2012-07-20,1,80.42,3.311,6.908,False,221.9327267,14.219611242336242
2012-07-27,1,82.66,3.407,6.908,False,221.9412954,14.179544951597556
2012-08-03,1,86.11,3.417,6.908,False,221.9498642,14.304787133808956
2012-08-10,1,85.05,3.494,6.908,False,221.9584329,14.2807591310784
2012-08-17,1,84.85,3.571,6.908,False,222.0384109,14.284180829934147
2012-08-24,1,77.66,3.62,6.908,False,222.1719457,14.217049555644067
2012-08-31,1,80.49,3.638,6.908,False,222.3054805,14.27425314399857
2012-09-07,1,83.96,3.73,6.908,True,222.4390153,14.323392250614305
2012-09-14,1,74.97,3.717,6.908,False,222.5820193,14.232527927670587
2012-09-21,1,69.87,3.721,6.908,False,222.7818386,14.225051389018175
2012-09-28,1,76.08,3.666,6.908,False,222.9816579,14.178109402902589
2012-10-05,1,68.55,3.617,6.573,False,223.1814772,14.328804714394895
2012-10-12,1,62.99,3.601,6.573,False,223.3812965,14.268541468318203
2012-10-19,1,67.97,3.594,6.573,False,223.4257233,14.226340429958508
2012-10-26,1,69.16,3.506,6.573,False,223.4442513,14.216739867731684
2010-02-05,2,40.19,2.572,8.324,False,210.7526053,14.57490860214125
2010-02-12,2,38.49,2.548,8.324,True,210.8979935,14.575292264632859
2010-02-19,2,39.69,2.514,8.324,False,210.9451605,14.56902422820389
2010-02-26,2,46.1,2.561,8.324,False,210.9759573,14.43882376519598
2010-03-05,2,47.17,2.625,8.324,False,211.0067542,14.50415417770063
2010-03-12,2,57.56,2.667,8.324,False,211.037551,14.503888272682952
2010-03-19,2,54.52,2.72,8.324,False,210.8733316,14.481322964497453
2010-03-26,2,51.26,2.732,8.324,False,210.6766095,14.375239373797518
